评论文本 (Text),ChnSentiCorp原始标签 (Original Label),修正后标签 (Correct Label),错误分析 (Error Analysis)
通过携程预定该酒店保留到晚上6点的。但是下午3点多接到携程电话，居然说我给酒店打电话取消我的房间，问我有没有这回事。简直很气人！ 后来到酒店办理入住时，问了前台有没有这回事。他们居然回答的很干脆，有这个事情。酒店也太不负责了，为了自己的入住率就随意取消客人的预定。一点都不配万丽的作风和职业道德。 另外，该酒店不能用民生银行信用卡做预授权，只能用中国银行和交通银行。这点很不方便的，请大家以后入住的时候请注意了。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
随着孩子的长大，这本书居然成了孩子的最爱（1岁7个月），连着2个多月，睡前必要这本书。孩子最喜欢的就是最后一页，有时候讲着讲着，就一下子翻到最后，当我说大卫的妈妈说“我爱你的时候”，宝贝女儿也抬头等我说“我爱你”,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
《不一样的卡梅拉》的确不一样！家里那么多图书，儿子偏偏对它情有独钟。没事就把它从书架上拿下来一个人静静地翻阅。要不就问我：“我是卡梅拉，妈妈你是谁？”让我和他一起扮演书中的故事，一遍又一遍的，不厌其烦。可见，这本书已深深地印刻在他幼小的心灵中了。这就是一本不一样的好书！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
刚在当当网订购这套书时，就跟儿子说我给他订了一套书，里面有小汽车，还有很多好听的有事，儿子非常高兴，这本书到了后，儿子非常喜欢，特别是对轱辘轱辘转这本书格外喜欢，在里面找金虫子乐此不疲，晚上到不肯睡觉。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
给外甥买了好几套动画片，他最喜欢这一套，而且百看不厌。一张碟子能看几个小时。不断重复的放，他看了还是一直笑。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
投诉内容： 2009-5-22收到一张发票号码：02840189(上面写着订单号：4491950）金额为：8591元，但是实际上4月9号订单号：4491950 金额应该是：11808元，这样的财务水准是不是有点问题？？？？？？？？？？现在汇款（货款）金额与发票金额不符财务没用办法入账？？？？？？？？？？？？？,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
"定单5216523与6月3号要求处理补发赠品.现在已经20号了,仍然未补发.这服务也""太到位""了吧,买了东西就甩手不管了?难道这就是京东一惯的""作风""?现在都出了大礼包了.要求给一个满意的结果.不要一拖再拖!!!(而且我们拿到手就发现键盘问题,已经拿去修了.才买几天啊?)这些结果都让人都郁闷!!!",正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
这款机子，我没发现任何值得说好的地方！等待我不停的投诉吧！。。。（下面的评价不让多写字，写了很多发不了）,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
单位用户千万别买，支付太不方便。 一定要支票到帐才发货，结果给了支票，居然两天不到财务那里，找了一天才找到支票在那里。 18号下的订单，28号才送到，而且还是支付的现金，支票依然没有到帐。不知道那个单位可以忍受这样的服务。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
这是本perfect的书！看到拉拉仿佛看到我自己，我现在也是一名销售助理兼行政主管，所以看这本书的时候我视拉拉为自己，其中人物的内心感受和我有惊人的相似，所以我更能体会主人公拉拉的感受和理解拉拉的举动。我也曾迷茫，是拉拉给了我前进的动力！作为刚踏上社会的我来说 总是感情用事，做事太直，我要不断吸取社会经验、为人处事知道，让自己不断进步。书中的很多道理是很实用的，有时我也会刻意要求自己怎样怎样做。有时我会埋怨，因为在公司看起来我似乎是最忙的，可是我的薪水依然是最低的。拉拉就是我的榜样，和我同行业的榜样，我要进步，只要我努力，我一定会进步！《杜拉拉升职记》值得阅读的一本好书！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
没有任何优点，价格高，质量也不好，如果需要反面案例，完全可以拿来当样品。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
